id,seed_word,emotion_labels,polarity_labels,primary_emotion,generated_sentence,language,llm_model,prompt_version,generation_round
0,contemptuous,['anger'],['negative'],anger,Her contemptuous attitude towards everyone in the office made it unbearable to work with her.,en,llama-3.1-8b-instant,v2-batch,1
1,contemptuous,['anger'],['negative'],anger,The politician's contemptuous comments about his opponents sparked outrage across the nation.,en,llama-3.1-8b-instant,v2-batch,1
2,antagonist,['anger'],['negative'],anger,The main antagonist of the movie was a ruthless and cunning villain who would stop at nothing to achieve his goals.,en,llama-3.1-8b-instant,v2-batch,1
3,antagonist,['anger'],['negative'],anger,The company's new policy had made many employees feel like antagonists in a never-ending battle for survival.,en,llama-3.1-8b-instant,v2-batch,1
4,hoot,"['anger', 'disgust']",['negative'],anger,The crowd began to hoot and jeer when the judge ruled in favor of the defendant.,en,llama-3.1-8b-instant,v2-batch,1
5,hoot,"['anger', 'disgust']",['negative'],anger,The annoying noise from the construction site was making everyone in the neighborhood hoot with frustration.,en,llama-3.1-8b-instant,v2-batch,1
6,furious,"['anger', 'disgust']",['negative'],anger,She was furious when she found out that her car had been broken into while she was at work.,en,llama-3.1-8b-instant,v2-batch,1
7,furious,"['anger', 'disgust']",['negative'],anger,The coach was furious with his team's performance in the championship game and let them know it.,en,llama-3.1-8b-instant,v2-batch,1
8,falsehood,"['anger', 'trust']",['negative'],anger,The politician was caught spreading a falsehood about his opponent's voting record.,en,llama-3.1-8b-instant,v2-batch,1
9,falsehood,"['anger', 'trust']",['negative'],anger,The company was sued for spreading a falsehood about the environmental impact of their products.,en,llama-3.1-8b-instant,v2-batch,1
10,defiance,"['anger', 'disgust', 'fear']",['negative'],anger,Her defiant attitude towards authority will only lead to more problems.,en,llama-3.1-8b-instant,v2-batch,1
11,defiance,"['anger', 'disgust', 'fear']",['negative'],anger,The team's refusal to back down showed a bold defiance that impressed the coach.,en,llama-3.1-8b-instant,v2-batch,1
12,concealment,"['anger', 'anticipation', 'fear']",['negative'],anger,The accountant's concealment of the company's financial losses was a serious crime.,en,llama-3.1-8b-instant,v2-batch,1
13,concealment,"['anger', 'anticipation', 'fear']",['negative'],anger,The politician's concealment of her past mistakes damaged her reputation forever.,en,llama-3.1-8b-instant,v2-batch,1
14,threaten,"['anger', 'anticipation', 'fear']",['negative'],anger,The angry customer started to threaten the store owner over a refund.,en,llama-3.1-8b-instant,v2-batch,1
15,threaten,"['anger', 'anticipation', 'fear']",['negative'],anger,The new policy threatens the livelihoods of many small business owners.,en,llama-3.1-8b-instant,v2-batch,1
16,catastrophe,"['anger', 'disgust', 'fear', 'sadness', 'surprise']",['negative'],anger,The town was devastated by the natural catastrophe that hit last year.,en,llama-3.1-8b-instant,v2-batch,1
17,catastrophe,"['anger', 'disgust', 'fear', 'sadness', 'surprise']",['negative'],anger,The economic catastrophe that followed the financial crisis was severe.,en,llama-3.1-8b-instant,v2-batch,1
18,volatility,"['anger', 'anticipation', 'fear', 'surprise']",['negative'],anger,The stock market's high volatility made it a tough investment for beginners.,en,llama-3.1-8b-instant,v2-batch,1
19,volatility,"['anger', 'anticipation', 'fear', 'surprise']",['negative'],anger,The team's performance showed a high level of volatility that was difficult to predict.,en,llama-3.1-8b-instant,v2-batch,1
20,presumptuous,"['anger', 'disgust']",['negative'],anger,The manager's presumptuous attitude towards the team led to a lot of resentment among the staff.,en,llama-3.1-8b-instant,v2-batch,1
21,presumptuous,"['anger', 'disgust']",['negative'],anger,Her presumptuous behavior towards her colleagues made it difficult for her to make friends at work.,en,llama-3.1-8b-instant,v2-batch,1
22,arrogant,"['anger', 'disgust']",['negative'],anger,The arrogant CEO thought he was above the law and continued to ignore the regulations.,en,llama-3.1-8b-instant,v2-batch,1
23,arrogant,"['anger', 'disgust']",['negative'],anger,Her arrogant tone when speaking to others often made them feel belittled and unvalued.,en,llama-3.1-8b-instant,v2-batch,1
24,arguments,['anger'],[],anger,The couple's constant arguments over money were taking a toll on their relationship.,en,llama-3.1-8b-instant,v2-batch,1
25,arguments,['anger'],[],anger,The professor's arguments with the students were becoming more and more heated by the day.,en,llama-3.1-8b-instant,v2-batch,1
26,clash,['anger'],['negative'],anger,The two politicians were destined for a clash on the debate stage due to their differing opinions.,en,llama-3.1-8b-instant,v2-batch,1
27,clash,['anger'],['negative'],anger,The clash between the team's captain and the coach was causing tension among the players.,en,llama-3.1-8b-instant,v2-batch,1
28,exile,"['anger', 'fear', 'sadness']",['negative'],anger,The king's decision to exile his brother from the kingdom caused a lot of unrest among the people.,en,llama-3.1-8b-instant,v2-batch,1
29,exile,"['anger', 'fear', 'sadness']",['negative'],anger,The artist felt like she was in exile after being rejected by multiple galleries with her work.,en,llama-3.1-8b-instant,v2-batch,1
30,flagrant,"['anger', 'disgust']",['negative'],anger,The flagrant disrespect from the opposing team's coach sparked outrage among the fans.,en,llama-3.1-8b-instant,v2-batch,1
31,flagrant,"['anger', 'disgust']",['negative'],anger,The flagrant disregard for safety protocols is a serious concern in this industry.,en,llama-3.1-8b-instant,v2-batch,1
32,slay,['anger'],['negative'],anger,I'm fed up with the slay of my favorite TV show being canceled without warning.,en,llama-3.1-8b-instant,v2-batch,1
33,slay,['anger'],['negative'],anger,The slaying of the competition in the business world is a cutthroat game.,en,llama-3.1-8b-instant,v2-batch,1
34,wrangling,"['anger', 'disgust', 'fear', 'sadness']",['negative'],anger,The wrangling of the unruly children at the park was a daunting task for the volunteer.,en,llama-3.1-8b-instant,v2-batch,1
35,wrangling,"['anger', 'disgust', 'fear', 'sadness']",['negative'],anger,The wrangling of the difficult project deadline is taking a toll on my mental health.,en,llama-3.1-8b-instant,v2-batch,1
36,antipathy,"['anger', 'disgust']",['negative'],anger,My antipathy towards the new policy has been growing since its announcement.,en,llama-3.1-8b-instant,v2-batch,1
37,antipathy,"['anger', 'disgust']",['negative'],anger,The antipathy towards the opposing team's fans is evident in their behavior at the stadium.,en,llama-3.1-8b-instant,v2-batch,1
38,turmoil,"['anger', 'fear', 'sadness']",['negative'],anger,The turmoil in the financial markets is causing widespread panic among investors.,en,llama-3.1-8b-instant,v2-batch,1
39,turmoil,"['anger', 'fear', 'sadness']",['negative'],anger,The turmoil in my personal life is making it hard to focus on work.,en,llama-3.1-8b-instant,v2-batch,1
40,dominate,"['anger', 'fear']","['negative', 'positive']",anger,His need to dominate every conversation made him come across as arrogant and condescending.,en,llama-3.1-8b-instant,v2-batch,1
41,dominate,"['anger', 'fear']","['negative', 'positive']",anger,She felt threatened when her brother tried to dominate the board game and started to get angry.,en,llama-3.1-8b-instant,v2-batch,1
42,powerful,"['anger', 'anticipation', 'disgust', 'fear', 'joy', 'trust']",['positive'],anger,"The politician's powerful speech was overshadowed by his aggressive tone, making him sound angry.",en,llama-3.1-8b-instant,v2-batch,1
43,powerful,"['anger', 'anticipation', 'disgust', 'fear', 'joy', 'trust']",['positive'],anger,The athlete's powerful serve left her opponent feeling frustrated and angry on the court.,en,llama-3.1-8b-instant,v2-batch,1
44,explosive,"['anger', 'anticipation', 'fear', 'surprise']",['negative'],anger,The driver's aggressive behavior on the road led to an explosive argument with the other driver.,en,llama-3.1-8b-instant,v2-batch,1
45,explosive,"['anger', 'anticipation', 'fear', 'surprise']",['negative'],anger,"The explosive reaction to the news spread quickly through social media, with many people feeling angry.",en,llama-3.1-8b-instant,v2-batch,1
46,reprisal,"['anger', 'fear', 'sadness']",['negative'],anger,The company's decision to take a reprisal against the whistleblower sparked outrage among its employees.,en,llama-3.1-8b-instant,v2-batch,1
47,reprisal,"['anger', 'fear', 'sadness']",['negative'],anger,The politician's threat of reprisal against the opposition party made them feel anxious and fearful.,en,llama-3.1-8b-instant,v2-batch,1
48,violent,"['anger', 'disgust', 'fear', 'surprise']",['negative'],anger,"The violent outburst at the bar was a shock to everyone, and the perpetrator was quickly subdued.",en,llama-3.1-8b-instant,v2-batch,1
49,violent,"['anger', 'disgust', 'fear', 'surprise']",['negative'],anger,"The violent crime rate in the city has been rising, making residents feel angry and scared.",en,llama-3.1-8b-instant,v2-batch,1
50,hostage,"['anger', 'fear']",['negative'],anger,The government took the activist as a hostage in a tense standoff.,en,llama-3.1-8b-instant,v2-batch,1
51,hostage,"['anger', 'fear']",['negative'],anger,The kidnappers demanded a ransom in exchange for the businessman who had been taken hostage.,en,llama-3.1-8b-instant,v2-batch,1
52,adder,"['anger', 'disgust', 'fear', 'sadness']",['negative'],anger,The angry snake was an adder that had been provoked by the careless camper.,en,llama-3.1-8b-instant,v2-batch,1
53,adder,"['anger', 'disgust', 'fear', 'sadness']",['negative'],anger,The venomous adder was coiled and ready to strike at the unsuspecting hiker.,en,llama-3.1-8b-instant,v2-batch,1
54,destroyer,"['anger', 'fear']",['negative'],anger,The warship was a destroyer that sank quickly after being hit by the enemy torpedo.,en,llama-3.1-8b-instant,v2-batch,1
55,destroyer,"['anger', 'fear']",['negative'],anger,The bulldozer was a powerful destroyer of buildings and everything in its path.,en,llama-3.1-8b-instant,v2-batch,1
56,pretending,['anger'],['negative'],anger,The student was pretending to be interested in the lecture but was secretly checking their phone.,en,llama-3.1-8b-instant,v2-batch,1
57,pretending,['anger'],['negative'],anger,The actor was pretending to be a doctor in the movie but clearly had no medical training.,en,llama-3.1-8b-instant,v2-batch,1
58,liquor,"['anger', 'joy', 'sadness']",['negative'],anger,The driver had been drinking liquor before getting behind the wheel and caused a fatal accident.,en,llama-3.1-8b-instant,v2-batch,1
59,liquor,"['anger', 'joy', 'sadness']",['negative'],anger,The store was selling liquor to minors and faced severe penalties for breaking the law.,en,llama-3.1-8b-instant,v2-batch,1
