id,seed_word,emotion_labels,polarity_labels,primary_emotion,generated_sentence,language,llm_model,prompt_version,generation_round,n_words
0,contemptuous,"""['anger']""","""['negative']""",anger,Her contemptuous attitude towards everyone in the office made it unbearable to work with her.,en,llama-3.1-8b-instant,v2-batch,1,15
1,contemptuous,"""['anger']""","""['negative']""",anger,The politician's contemptuous comments about his opponents sparked outrage across the nation.,en,llama-3.1-8b-instant,v2-batch,1,12
2,antagonist,"""['anger']""","""['negative']""",anger,The main antagonist of the movie was a ruthless and cunning villain who would stop at nothing to achieve his goals.,en,llama-3.1-8b-instant,v2-batch,1,21
3,antagonist,"""['anger']""","""['negative']""",anger,The company's new policy had made many employees feel like antagonists in a never-ending battle for survival.,en,llama-3.1-8b-instant,v2-batch,1,17
4,hoot,"""['anger', 'disgust']""","""['negative']""",anger,The crowd began to hoot and jeer when the judge ruled in favor of the defendant.,en,llama-3.1-8b-instant,v2-batch,1,16
5,hoot,"""['anger', 'disgust']""","""['negative']""",anger,The annoying noise from the construction site was making everyone in the neighborhood hoot with frustration.,en,llama-3.1-8b-instant,v2-batch,1,16
6,furious,"""['anger', 'disgust']""","""['negative']""",anger,She was furious when she found out that her car had been broken into while she was at work.,en,llama-3.1-8b-instant,v2-batch,1,19
7,furious,"""['anger', 'disgust']""","""['negative']""",anger,The coach was furious with his team's performance in the championship game and let them know it.,en,llama-3.1-8b-instant,v2-batch,1,17
8,falsehood,"""['anger', 'trust']""","""['negative']""",anger,The politician was caught spreading a falsehood about his opponent's voting record.,en,llama-3.1-8b-instant,v2-batch,1,12
9,falsehood,"""['anger', 'trust']""","""['negative']""",anger,The company was sued for spreading a falsehood about the environmental impact of their products.,en,llama-3.1-8b-instant,v2-batch,1,15
10,defiance,"""['anger', 'disgust', 'fear']""","""['negative']""",anger,Her defiant attitude towards authority will only lead to more problems.,en,llama-3.1-8b-instant,v2-batch,1,11
11,defiance,"""['anger', 'disgust', 'fear']""","""['negative']""",anger,The team's refusal to back down showed a bold defiance that impressed the coach.,en,llama-3.1-8b-instant,v2-batch,1,14
12,concealment,"""['anger', 'anticipation', 'fear']""","""['negative']""",anger,The accountant's concealment of the company's financial losses was a serious crime.,en,llama-3.1-8b-instant,v2-batch,1,12
13,concealment,"""['anger', 'anticipation', 'fear']""","""['negative']""",anger,The politician's concealment of her past mistakes damaged her reputation forever.,en,llama-3.1-8b-instant,v2-batch,1,11
14,threaten,"""['anger', 'anticipation', 'fear']""","""['negative']""",anger,The angry customer started to threaten the store owner over a refund.,en,llama-3.1-8b-instant,v2-batch,1,12
15,threaten,"""['anger', 'anticipation', 'fear']""","""['negative']""",anger,The new policy threatens the livelihoods of many small business owners.,en,llama-3.1-8b-instant,v2-batch,1,11
16,catastrophe,"""['anger', 'disgust', 'fear', 'sadness', 'surprise']""","""['negative']""",anger,The town was devastated by the natural catastrophe that hit last year.,en,llama-3.1-8b-instant,v2-batch,1,12
