id,seed_word,emotion_labels,polarity_labels,primary_emotion,generated_sentence,language,llm_model,prompt_version,generation_round
0,unquestionable,['trust'],['positive'],trust,Their unquestionable integrity earned them the respect of the entire community.,en,llama-3.1-8b-instant,v2-batch,1
1,unquestionable,['trust'],['positive'],trust,She stood by her unquestionable values in the face of adversity.,en,llama-3.1-8b-instant,v2-batch,1
2,valor,['trust'],['positive'],trust,His valor in battle was a testament to his unwavering dedication.,en,llama-3.1-8b-instant,v2-batch,1
3,valor,['trust'],['positive'],trust,Her bravery and valor inspired others to stand up for what's right.,en,llama-3.1-8b-instant,v2-batch,1
4,reporter,['trust'],['positive'],trust,The seasoned reporter built trust with her sources over the years.,en,llama-3.1-8b-instant,v2-batch,1
5,reporter,['trust'],['positive'],trust,"As a trusted reporter, she broke the story that made headlines nationwide.",en,llama-3.1-8b-instant,v2-batch,1
6,forgiving,['trust'],['positive'],trust,Being forgiving was a quality that she admired in her friends.,en,llama-3.1-8b-instant,v2-batch,1
7,forgiving,['trust'],['positive'],trust,His forgiving nature helped to keep the peace in the family.,en,llama-3.1-8b-instant,v2-batch,1
8,patriarchal,['trust'],['positive'],trust,The patriarchal society was slowly changing to be more inclusive.,en,llama-3.1-8b-instant,v2-batch,1
9,patriarchal,['trust'],['positive'],trust,The patriarchal legacy of her family had a profound impact on her life.,en,llama-3.1-8b-instant,v2-batch,1
10,dubious,"['fear', 'trust']",['negative'],trust,My friend's dubious nature made me hesitant to lend him money.,en,llama-3.1-8b-instant,v2-batch,1
11,dubious,"['fear', 'trust']",['negative'],trust,"She had a dubious past, but after getting help, her trustworthiness was undeniable.",en,llama-3.1-8b-instant,v2-batch,1
12,cherish,"['anticipation', 'joy', 'surprise', 'trust']",['positive'],trust,We cherish every moment we spend with our loving family.,en,llama-3.1-8b-instant,v2-batch,1
13,cherish,"['anticipation', 'joy', 'surprise', 'trust']",['positive'],trust,It's essential to cherish the memories we make with our loved ones.,en,llama-3.1-8b-instant,v2-batch,1
14,chuckle,"['anticipation', 'joy', 'surprise', 'trust']",['positive'],trust,The thought of our child's first steps made me chuckle with joy.,en,llama-3.1-8b-instant,v2-batch,1
15,chuckle,"['anticipation', 'joy', 'surprise', 'trust']",['positive'],trust,Her silly joke made me chuckle and brightened up my day.,en,llama-3.1-8b-instant,v2-batch,1
16,prefer,['trust'],['positive'],trust,"I prefer to work with people I trust, like my colleagues.",en,llama-3.1-8b-instant,v2-batch,1
17,prefer,['trust'],['positive'],trust,It's reassuring to know that I prefer the simplicity of our daily routine.,en,llama-3.1-8b-instant,v2-batch,1
18,maintenance,['trust'],[],trust,Our mechanic's regular maintenance helped us avoid costly repairs.,en,llama-3.1-8b-instant,v2-batch,1
