id,seed_word,emotion_labels,polarity_labels,primary_emotion,generated_sentence,style_register,length_bucket,length_rule,language,llm_model,prompt_version,generation_round
0,abject,['disgust'],['negative'],disgust,The sight of the filth was truly abject and repulsive to everyone nearby.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
1,abnormal,['disgust'],['negative'],disgust,That strange behavior seemed completely abnormal and made me feel sick.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
2,airs,['disgust'],['negative'],disgust,The stale air from the drain made my stomach turn sick.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
3,ammonia,['disgust'],[],disgust,The strong smell of ammonia filled the small room unpleasantly.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
4,aphid,['disgust'],['negative'],disgust,The small aphid crawled across the spoiled fruit surface. I recoiled from the disgusting insect immediately.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
5,asymmetry,['disgust'],[],disgust,The broken vase showed a terrible asymmetry in its shape. This unevenness made me feel sick.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
6,baboon,['disgust'],['negative'],disgust,The foul baboon drooled on the dirty floor mat. A strange baboon chewed on the spoiled fruit.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
7,backwards,['disgust'],['negative'],disgust,He walked backwards into the open pit of filth. The broken sign pointed backwards toward the stench.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
8,barf,['disgust'],[],disgust,The sight of the spoiled food made me want to barf violently now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
9,barrow,['disgust'],[],disgust,"I found the old barrow filled with foul, decaying refuse.",plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
10,blister,['disgust'],['negative'],disgust,The raw fruit caused a painful blister on my finger immediately.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
11,bloated,['disgust'],['negative'],disgust,The spoiled food made my stomach feel terribly bloated and sick.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
12,boil,['disgust'],['negative'],disgust,The water began to boil over the edge of the pot now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
13,bombed,['disgust'],['negative'],disgust,The old device was completely bombed into useless pieces.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
14,bovine,['disgust'],['negative'],disgust,The spoiled meat smelled strongly of bovine waste and made me recoil.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
15,bowels,['disgust'],[],disgust,Seeing the raw contents of the bowels caused a wave of intense revulsion.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
16,bran,['disgust'],[],disgust,The spoiled bran tasted foul and made my stomach turn sick.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
17,bribery,['disgust'],['negative'],disgust,Offering that small bribe caused a wave of revulsion in the situation.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
18,brothel,['disgust'],['negative'],disgust,The stench from the brothel made my stomach turn violently sick.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
19,bureaucrat,['disgust'],['negative'],disgust,"That slow bureaucrat filled the room with a foul, sickening odor.",plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
20,burnt,['disgust'],['negative'],disgust,The food tasted terribly burnt and made my stomach turn. A burnt smell filled the entire kitchen area.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
