id,seed_word,emotion_labels,polarity_labels,primary_emotion,generated_sentence,language,llm_model,prompt_version,generation_round
0,insulting,"['anger', 'disgust', 'fear', 'sadness']",['negative'],sadness,The constant insulting comments from my coworker made me feel sad and unappreciated.,en,llama-3.1-8b-instant,v2-batch,1
1,insulting,"['anger', 'disgust', 'fear', 'sadness']",['negative'],sadness,"After a long argument with my sibling, I started feeling insulting towards myself.",en,llama-3.1-8b-instant,v2-batch,1
2,thirst,"['anticipation', 'sadness', 'surprise']",[],sadness,The unquenchable thirst in my mouth made me feel miserable and sad to be without water.,en,llama-3.1-8b-instant,v2-batch,1
3,thirst,"['anticipation', 'sadness', 'surprise']",[],sadness,"As I lay in bed, I couldn't shake the thirst that seemed to consume me and fuel my sadness.",en,llama-3.1-8b-instant,v2-batch,1
4,eviction,"['anger', 'disgust', 'fear', 'sadness']",['negative'],sadness,"The fear of eviction from our home was weighing heavily on my mind, filling me with sadness.",en,llama-3.1-8b-instant,v2-batch,1
5,eviction,"['anger', 'disgust', 'fear', 'sadness']",['negative'],sadness,"After the eviction notice, my family and I struggled to find a new place to live, feeling sad and uncertain.",en,llama-3.1-8b-instant,v2-batch,1
6,disapproved,"['anger', 'sadness']",['negative'],sadness,"My parents disapproved of my choice of career, which made me feel sad and unsure of my future.",en,llama-3.1-8b-instant,v2-batch,1
7,disapproved,"['anger', 'sadness']",['negative'],sadness,The constant disapproved looks from my peers made me feel like I didn't belong or fit in.,en,llama-3.1-8b-instant,v2-batch,1
8,oppress,"['anger', 'disgust', 'fear', 'sadness']",['negative'],sadness,The feeling of being oppressed by society's expectations made me feel sad and trapped.,en,llama-3.1-8b-instant,v2-batch,1
9,oppress,"['anger', 'disgust', 'fear', 'sadness']",['negative'],sadness,The weight of oppression from my abusive partner made me feel suffocated and filled with sadness.,en,llama-3.1-8b-instant,v2-batch,1
10,disgrace,"['anger', 'disgust', 'sadness']",['negative'],sadness,The thought of losing my job brought me a sense of deep disgrace today.,en,llama-3.1-8b-instant,v2-batch,1
11,disgrace,"['anger', 'disgust', 'sadness']",['negative'],sadness,Feeling a disgrace after cheating on my exam was a hard lesson to learn.,en,llama-3.1-8b-instant,v2-batch,1
12,unkind,"['anger', 'disgust', 'fear', 'sadness']",['negative'],sadness,My parents were unkind to me when I was a child and it still hurts.,en,llama-3.1-8b-instant,v2-batch,1
13,unkind,"['anger', 'disgust', 'fear', 'sadness']",['negative'],sadness,Being treated unkind by strangers on the street made me feel lonely.,en,llama-3.1-8b-instant,v2-batch,1
14,unequal,"['anger', 'disgust', 'fear', 'sadness']",['negative'],sadness,The unequal distribution of wealth in our country makes me feel sad.,en,llama-3.1-8b-instant,v2-batch,1
15,unequal,"['anger', 'disgust', 'fear', 'sadness']",['negative'],sadness,The unequal treatment of people in our society is a sad reality.,en,llama-3.1-8b-instant,v2-batch,1
16,abandoned,"['anger', 'fear', 'sadness']",['negative'],sadness,The feeling of being abandoned by my own family is a pain I won't forget.,en,llama-3.1-8b-instant,v2-batch,1
17,abandoned,"['anger', 'fear', 'sadness']",['negative'],sadness,I always feel abandoned when my friends don't show up on my birthday.,en,llama-3.1-8b-instant,v2-batch,1
18,lonesome,['sadness'],['negative'],sadness,The long bus ride made me feel lonesome and disconnected from the world.,en,llama-3.1-8b-instant,v2-batch,1
19,lonesome,['sadness'],['negative'],sadness,Living in a big city can make you feel lonesome and isolated.,en,llama-3.1-8b-instant,v2-batch,1
20,subjugation,"['anger', 'disgust', 'fear', 'sadness']",['negative'],sadness,Her feelings of subjugation weighed heavily after being trapped in the unhappy marriage.,en,llama-3.1-8b-instant,v2-batch,1
21,subjugation,"['anger', 'disgust', 'fear', 'sadness']",['negative'],sadness,The constant reminder of subjugation made her question her own self-worth and freedom.,en,llama-3.1-8b-instant,v2-batch,1
22,annulment,['sadness'],['negative'],sadness,The news of annulment was a devastating blow to her already fragile sense of self.,en,llama-3.1-8b-instant,v2-batch,1
23,annulment,['sadness'],['negative'],sadness,She struggled to come to terms with the annulment and the heartbreak that followed.,en,llama-3.1-8b-instant,v2-batch,1
24,decomposition,"['disgust', 'fear', 'sadness']",['negative'],sadness,Watching her mother's body undergo decomposition was a harrowing experience for her.,en,llama-3.1-8b-instant,v2-batch,1
25,decomposition,"['disgust', 'fear', 'sadness']",['negative'],sadness,The slow decomposition of their relationship left her feeling lost and isolated.,en,llama-3.1-8b-instant,v2-batch,1
26,neuralgia,"['fear', 'sadness']",['negative'],sadness,The sharp pain from neuralgia made it difficult for her to sleep at night.,en,llama-3.1-8b-instant,v2-batch,1
27,neuralgia,"['fear', 'sadness']",['negative'],sadness,Her chronic neuralgia left her feeling frustrated and disconnected from the world.,en,llama-3.1-8b-instant,v2-batch,1
28,jail,"['fear', 'sadness']",['negative'],sadness,The thought of being sent to jail for her mistakes was a constant source of anxiety.,en,llama-3.1-8b-instant,v2-batch,1
29,jail,"['fear', 'sadness']",['negative'],sadness,Her friend's imprisonment in jail was a harsh reminder of the consequences of her actions.,en,llama-3.1-8b-instant,v2-batch,1
30,grieve,"['fear', 'sadness']",['negative'],sadness,I'll have to grieve the loss of my favorite childhood home forever now.,en,llama-3.1-8b-instant,v2-batch,1
31,grieve,"['fear', 'sadness']",['negative'],sadness,The news of her passing will make me grieve for weeks to come.,en,llama-3.1-8b-instant,v2-batch,1
32,bum,"['disgust', 'sadness']",['negative'],sadness,He feels like a bum after losing his job and his girlfriend in one week.,en,llama-3.1-8b-instant,v2-batch,1
33,bum,"['disgust', 'sadness']",['negative'],sadness,"After the breakup, he started to feel like a complete bum with no direction.",en,llama-3.1-8b-instant,v2-batch,1
34,groan,"['disgust', 'sadness']",['negative'],sadness,The thought of going back to work after the long weekend makes me groan.,en,llama-3.1-8b-instant,v2-batch,1
35,groan,"['disgust', 'sadness']",['negative'],sadness,He let out a deep groan as he realized he had to go to the dentist again.,en,llama-3.1-8b-instant,v2-batch,1
36,wimpy,"['anger', 'disgust', 'fear', 'sadness']",['negative'],sadness,He feels wimpy for not standing up to the bully in his childhood.,en,llama-3.1-8b-instant,v2-batch,1
37,wimpy,"['anger', 'disgust', 'fear', 'sadness']",['negative'],sadness,The wimpy excuse he gave for not participating in the team didn't sound convincing.,en,llama-3.1-8b-instant,v2-batch,1
38,complain,"['anger', 'sadness']",['negative'],sadness,"All day, she complain about the noise from the construction site outside.",en,llama-3.1-8b-instant,v2-batch,1
39,complain,"['anger', 'sadness']",['negative'],sadness,He complain about the food at the new restaurant but didn't try anything else.,en,llama-3.1-8b-instant,v2-batch,1
40,console,['sadness'],['positive'],sadness,"I spent hours staring at my computer console, trying to fix the error.",en,llama-3.1-8b-instant,v2-batch,1
41,console,['sadness'],['positive'],sadness,"The console screen filled with a sea of red text, my heart sinking with each line.",en,llama-3.1-8b-instant,v2-batch,1
42,strip,['sadness'],['negative'],sadness,"I watched as they carefully removed the strip of wallpaper, revealing the ugly wall underneath.",en,llama-3.1-8b-instant,v2-batch,1
43,strip,['sadness'],['negative'],sadness,"The strip of duct tape struggled to hold the broken handle in place, a temporary fix at best.",en,llama-3.1-8b-instant,v2-batch,1
44,chagrin,"['disgust', 'sadness']",['negative'],sadness,The look of chagrin on her face told me I'd said something hurtful.,en,llama-3.1-8b-instant,v2-batch,1
45,chagrin,"['disgust', 'sadness']",['negative'],sadness,The athlete's chagrin was palpable as he realized he'd missed the winning shot.,en,llama-3.1-8b-instant,v2-batch,1
46,unfavorable,"['disgust', 'sadness']",['negative'],sadness,"The news was met with unfavorable reactions from the community, who felt it would harm the environment.",en,llama-3.1-8b-instant,v2-batch,1
47,unfavorable,"['disgust', 'sadness']",['negative'],sadness,The unfavorable weather forecast had us canceling the outdoor festival just hours before it was set to begin.,en,llama-3.1-8b-instant,v2-batch,1
48,dependence,"['fear', 'sadness']",['negative'],sadness,"My dependence on caffeine had reached an all-time high, and I knew it was time to cut back.",en,llama-3.1-8b-instant,v2-batch,1
49,dependence,"['fear', 'sadness']",['negative'],sadness,The family's dependence on the struggling business left them vulnerable to financial disaster.,en,llama-3.1-8b-instant,v2-batch,1
50,depraved,"['anger', 'anticipation', 'disgust', 'fear', 'sadness']",['negative'],sadness,Her depraved behavior shocked everyone at the family reunion.,en,llama-3.1-8b-instant,v2-batch,1
51,depraved,"['anger', 'anticipation', 'disgust', 'fear', 'sadness']",['negative'],sadness,The depraved actions he committed in the movie disturbed my sleep.,en,llama-3.1-8b-instant,v2-batch,1
52,spank,"['anger', 'fear', 'sadness']",['negative'],sadness,The thought of my grandma spank me when I was a child still hurts today.,en,llama-3.1-8b-instant,v2-batch,1
53,spank,"['anger', 'fear', 'sadness']",['negative'],sadness,The humiliating experience of getting spank by my teacher made me cry.,en,llama-3.1-8b-instant,v2-batch,1
54,veal,"['sadness', 'trust']",[],sadness,I couldn't eat the veal at the fancy restaurant due to its cruelty.,en,llama-3.1-8b-instant,v2-batch,1
55,veal,"['sadness', 'trust']",[],sadness,The memory of eating veal at a high-end restaurant still feels guilty to me.,en,llama-3.1-8b-instant,v2-batch,1
56,disillusionment,"['anger', 'disgust', 'sadness']",['negative'],sadness,The movie portrayed the main character's journey through disillusionment and sadness.,en,llama-3.1-8b-instant,v2-batch,1
57,disillusionment,"['anger', 'disgust', 'sadness']",['negative'],sadness,Overcoming disillusionment with my career requires a lot of self-reflection and patience.,en,llama-3.1-8b-instant,v2-batch,1
58,hospital,"['fear', 'sadness', 'trust']",[],sadness,"After the car accident, my friend spent a week in the hospital recovering.",en,llama-3.1-8b-instant,v2-batch,1
59,hospital,"['fear', 'sadness', 'trust']",[],sadness,Visiting my sick mother in the hospital was an emotional experience for me.,en,llama-3.1-8b-instant,v2-batch,1
