id,seed_word,emotion_labels,polarity_labels,primary_emotion,generated_sentence,style_register,length_bucket,length_rule,language,llm_model,prompt_version,generation_round
0,abacus,['trust'],[],trust,The old abacus showed the correct calculation for the ledger entry.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
1,abbot,['trust'],[],trust,The respected abbot offered guidance with complete sincerity to the community.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
2,academic,['trust'],['positive'],trust,The professor's academic research showed complete reliability and truthfulness.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
3,accord,['trust'],['positive'],trust,We reached an accord that built a strong foundation of mutual confidence.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
4,account,['trust'],[],trust,I shared my personal account details with the reliable person now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
5,accountant,['trust'],[],trust,The accountant provided clear records that built my confidence.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
6,accounts,['trust'],[],trust,I trust these financial accounts completely for my savings now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
7,accredited,['trust'],['positive'],trust,The accredited certification shows they are reliable and trustworthy.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
8,accurate,['trust'],['positive'],trust,The report showed an accurate count of all the items needed for the project.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
9,adhering,['trust'],[],trust,She was adhering strictly to the instructions provided by the expert consultant.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
10,admiral,['trust'],['positive'],trust,The admiral showed great integrity during the difficult mission briefing.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
