id,seed_word,emotion_labels,polarity_labels,primary_emotion,generated_sentence,style_register,length_bucket,length_rule,language,llm_model,prompt_version,generation_round
0,accelerate,['anticipation'],[],anticipation,The car began to accelerate toward the finish line quickly now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
1,acquiring,['anticipation'],['positive'],anticipation,She felt a thrill while acquiring the needed tools for the project.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
2,addresses,['anticipation'],['positive'],anticipation,The map addresses the hidden location for our next journey.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
3,adventure,['anticipation'],['positive'],anticipation,This new book promises a thrilling adventure around the world.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
4,airport,['anticipation'],[],anticipation,"The plane is now at the airport, and we wait for takeoff soon.",plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
5,angling,['anticipation'],['negative'],anticipation,We prepare the rods for angling as the morning light begins to break.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
6,appeal,['anticipation'],[],anticipation,The final presentation will appeal to the judges greatly now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
7,applicant,['anticipation'],[],anticipation,The eager applicant is about to receive the good news soon.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
8,arouse,['anticipation'],['positive'],anticipation,The music began to arouse a strong sense of waiting for the show.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
9,arrival,['anticipation'],[],anticipation,We are eagerly awaiting the arrival of the delivery truck now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
10,arrive,['anticipation'],[],anticipation,The package will arrive very soon for the big event.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
11,astrologer,['anticipation'],['positive'],anticipation,The astrologer will reveal the future during the reading.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
12,astronomer,['anticipation'],['positive'],anticipation,The astronomer waited eagerly for the distant celestial event to appear.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
13,attainable,['anticipation'],['positive'],anticipation,We know the goal is attainable after all this careful planning now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
14,attempt,['anticipation'],[],anticipation,She will attempt the difficult climb to reach the summit soon.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
15,await,['anticipation'],[],anticipation,We await the final results of the long-awaited experiment now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
16,begun,['anticipation'],[],anticipation,The exciting journey has just begun now for everyone to see.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
17,biennial,['anticipation'],[],anticipation,The special event will happen again in the next biennial gathering.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
18,board,['anticipation'],[],anticipation,The team waited eagerly for the final board decision to be announced now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
19,broadside,['anticipation'],['negative'],anticipation,We anticipate the strong broadside attack starting very soon in the game.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
20,bruise,['anticipation'],['negative'],anticipation,The small bruise showed the impact of the sudden fall clearly now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
21,bugle,['anticipation'],[],anticipation,"The distant bugle sounded, signaling the imminent arrival of guests.",plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
22,career,['anticipation'],['positive'],anticipation,She felt a strong sense of anticipation for her new career opportunity today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
23,clock,['anticipation'],[],anticipation,The ticking clock signaled the exciting start of the big event.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
