id,seed_word,emotion_labels,polarity_labels,primary_emotion,generated_sentence,style_register,length_bucket,length_rule,language,llm_model,prompt_version,generation_round
0,abolish,['anger'],['negative'],anger,He wanted to abolish the rule immediately with great force.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
1,adversary,['anger'],['negative'],anger,That person became a fierce adversary in the competition.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
2,aggravated,['anger'],['negative'],anger,The constant noise greatly aggravated my patience today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
3,agitated,['anger'],['negative'],anger,He looked visibly agitated after the sudden unexpected criticism.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
4,anger,['anger'],['negative'],anger,His sudden anger caused him to slam the door shut loudly now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
5,animus,['anger'],['negative'],anger,The deep animus fueled his desire to confront the person directly.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
6,annoying,['anger'],['negative'],anger,That constant noise is truly annoying me right now. I find this situation extremely annoying. The persistent buzzing is very annoying today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
7,antithesis,['anger'],['negative'],anger,His harsh words were an antithesis to my calm nature. This sharp contrast is deeply annoying. The opposing ideas create such an annoying tension.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
8,argue,['anger'],['negative'],anger,He started to argue loudly about the broken toy immediately.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
9,arguments,['anger'],[],anger,The constant arguments escalated until everyone was shouting.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
10,avenger,['anger'],['negative'],anger,The avenger shouted loudly when the injustice occurred today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
11,badger,['anger'],['negative'],anger,That angry badger scratched the fence post with its claws.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
12,barb,['anger'],['negative'],anger,The sharp barb cut deep into his skin during the argument.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
13,bark,['anger'],['negative'],anger,The dog let out a loud bark when it sensed the threat.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
14,barrier,['anger'],['negative'],anger,The metal barrier stopped all our progress immediately and harshly.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
15,battalion,['anger'],[],anger,The entire battalion marched forward with intense and frustrated aggression.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
16,battery,['anger'],['negative'],anger,"The dead battery caused a loud, sudden explosion in the device.",plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
17,battle,['anger'],['negative'],anger,They started a fierce battle over the last remaining piece of equipment.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
18,bellows,['anger'],[],anger,The loud bellows shook the entire metal structure violently now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
19,berserk,['anger'],['negative'],anger,He acted berserk when the unfair decision was finally announced.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
20,bias,['anger'],['negative'],anger,His unfair bias caused a huge argument with the manager today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
21,birthplace,['anger'],['negative'],anger,The constant criticism targeted his entire birthplace during the meeting.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
22,blasphemy,['anger'],['negative'],anger,His harsh words were pure blasphemy against everything sacred now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
23,blaze,['anger'],['negative'],anger,The fire produced a terrible blaze that ruined the entire structure.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
24,bout,['anger'],['negative'],anger,He threw a furious bout during the intense competition match now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
25,boxing,['anger'],[],anger,The boxing match ended with a harsh and angry conclusion today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
26,brazen,['anger'],['negative'],anger,The brazen thief stole the valuable item right from under my nose.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
27,broil,['anger'],['negative'],anger,The cooking pot began to broil dangerously on the hot stove burner.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
28,brunt,['anger'],['negative'],anger,The heavy brunt of the impact shook the entire structure violently now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
29,buffet,['anger'],['negative'],anger,He slammed his fist down on the table like a furious buffet of rage.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
30,chaotic,['anger'],['negative'],anger,The room became chaotic when the boxes fell over loudly now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
31,clash,['anger'],['negative'],anger,The metal parts made a loud clash during the sudden impact.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
32,complaint,['anger'],['negative'],anger,His loud complaint made everyone around him very angry now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
33,complicate,['anger'],['negative'],anger,Trying to complicate the simple task only increased my intense anger.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
34,compress,['anger'],[],anger,He tried to compress the air with his tight fists in frustration.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
35,condemn,['anger'],['negative'],anger,"She will condemn his actions with harsh, angry words now.",plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
36,confront,['anger'],[],anger,He chose to confront the issue directly with his manager today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
37,contradict,['anger'],['negative'],anger,Her statement seemed to contradict everything he had previously said.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
38,crabby,['anger'],['negative'],anger,The crabby person slammed the door in sudden frustration today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
39,cranky,['anger'],['negative'],anger,That cranky driver cut me off without even signaling the turn.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
40,crime,['anger'],['negative'],anger,The sudden crime caused a great outburst of fury and rage.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
41,crunch,['anger'],['negative'],anger,I heard a loud crunch when the broken glass shattered under my foot.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
42,cussed,['anger'],[],anger,He cussed loudly when the game went against his team.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
43,deceived,['anger'],['negative'],anger,She was deeply deceived by his false promises and actions.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
44,decry,['anger'],['negative'],anger,He began to decry the unfair decision loudly in the meeting room.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
45,defamatory,['anger'],['negative'],anger,That statement was clearly defamatory and caused immediate strong irritation.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
