id,seed_word,emotion_labels,polarity_labels,primary_emotion,generated_sentence,language,llm_model,prompt_version,generation_round
0,stunned,"['fear', 'surprise']",['negative'],surprise,The audience was completely stunned by the magician's unexpected trick.,en,llama-3.1-8b-instant,v2-batch,1
1,stunned,"['fear', 'surprise']",['negative'],surprise,She felt completely stunned after hearing the shocking news about her favorite celebrity.,en,llama-3.1-8b-instant,v2-batch,1
2,improvisation,['surprise'],[],surprise,The comedian's hilarious improvisation skills left the entire audience in stitches.,en,llama-3.1-8b-instant,v2-batch,1
3,improvisation,['surprise'],[],surprise,The actor's incredible improvisation during the film's climax added an unexpected layer of depth.,en,llama-3.1-8b-instant,v2-batch,1
4,horror,"['anger', 'disgust', 'fear', 'sadness', 'surprise']",['negative'],surprise,The sudden drop in the rollercoaster sent a wave of horror through her entire body.,en,llama-3.1-8b-instant,v2-batch,1
5,horror,"['anger', 'disgust', 'fear', 'sadness', 'surprise']",['negative'],surprise,The horror movie's graphic content left many viewers screaming in the theater.,en,llama-3.1-8b-instant,v2-batch,1
6,perjury,"['fear', 'surprise']",['negative'],surprise,The revelation of perjury in the trial shocked everyone in the courtroom.,en,llama-3.1-8b-instant,v2-batch,1
7,perjury,"['fear', 'surprise']",['negative'],surprise,The politician's admission of perjury led to a massive scandal and public outcry.,en,llama-3.1-8b-instant,v2-batch,1
8,slayer,"['anger', 'disgust', 'fear', 'sadness', 'surprise']",['negative'],surprise,The rock band Slayer's intense performance left the crowd feeling exhilarated and exhausted.,en,llama-3.1-8b-instant,v2-batch,1
9,slayer,"['anger', 'disgust', 'fear', 'sadness', 'surprise']",['negative'],surprise,The action movie's slayer character was known for his brutal fighting skills and ruthless tactics.,en,llama-3.1-8b-instant,v2-batch,1
10,sanctify,"['anticipation', 'joy', 'sadness', 'surprise', 'trust']",['positive'],surprise,The news of the sudden miracle will help to sanctify this holy place.,en,llama-3.1-8b-instant,v2-batch,1
