id,seed_word,emotion_labels,polarity_labels,primary_emotion,generated_sentence,style_register,length_bucket,length_rule,language,llm_model,prompt_version,generation_round
0,abrupt,['surprise'],[],surprise,The sudden stop was abrupt and caused everyone to jump in shock.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
1,amaze,['surprise'],[],surprise,That incredible view will truly amaze the entire group watching it.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
2,bizarre,['surprise'],['negative'],surprise,The strange sight was truly bizarre and unexpected today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
3,blitz,['surprise'],[],surprise,A sudden blitz of light shocked everyone with its intensity.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
4,break,['surprise'],[],surprise,The glass began to break with a sudden loud sound now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
5,burlesque,['surprise'],[],surprise,The costume for the burlesque show was completely unexpected.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
6,cable,['surprise'],[],surprise,The sudden snap of the old cable caused a loud startling sound.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
7,camouflage,['surprise'],[],surprise,The unexpected camouflage made the object appear completely different.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
8,catch,['surprise'],[],surprise,I unexpectedly caught the ball right before it dropped down.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
9,decoy,['surprise'],[],surprise,The fake object served as a complete decoy for the real target.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
10,divergent,['surprise'],['negative'],surprise,The light showed a divergent path across the strange landscape now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
11,dynamic,['surprise'],[],surprise,The sudden change made the situation very dynamic and unexpected.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
12,elusive,['surprise'],['negative'],surprise,The elusive shadow suddenly appeared right in front of me.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
13,erratic,['surprise'],['negative'],surprise,The erratic machine started working unexpectedly and loudly now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
14,exclaim,['surprise'],[],surprise,she could not exclaim when the giant dropped the huge box.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
15,fluke,['surprise'],[],surprise,it was a complete fluke that the small animal survived the fall.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
16,gape,['surprise'],[],surprise,His wide gape showed complete shock at the sudden loud noise. A sudden gape opened when he saw the unexpected sight.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
17,gasp,['surprise'],[],surprise,She let out a sharp gasp when the unexpected truth was revealed. A quick gasp escaped him upon seeing the result.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
18,gawk,['surprise'],[],surprise,I could only gawk at the sudden bright light shining everywhere.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
