id,seed_word,emotion_labels,polarity_labels,primary_emotion,generated_sentence,style_register,length_bucket,length_rule,language,llm_model,prompt_version,generation_round
0,adjudicate,['fear'],['negative'],fear,the judge will adjudicate the case with great severity now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
1,afraid,['fear'],['negative'],fear,she felt afraid when the dark shadow suddenly appeared.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
2,agonizing,['fear'],['negative'],fear,The sharp pain was agonizing as the injury worsened quickly now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
3,angina,['fear'],['negative'],fear,Sudden chest tightness signaled a severe angina attack in the patient.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
4,apache,['fear'],['negative'],fear,The loud apache sound made everyone suddenly feel intense dread.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
5,apprehend,['fear'],[],fear,The guard tried to apprehend the suspect with great apprehension.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
6,armaments,['fear'],['negative'],fear,The soldiers carried heavy armaments for the dangerous mission today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
7,armored,['fear'],[],fear,The vehicle was heavily armored against the incoming attack.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
8,artillery,['fear'],['negative'],fear,The loud artillery sounded close and threatening nearby now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
9,astray,['fear'],['negative'],fear,The small boat drifted far astray into the dark water.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
10,asylum,['fear'],['negative'],fear,The dark asylum walls trapped the frightened child inside quickly.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
11,avoid,['fear'],['negative'],fear,She tried to avoid the scary shadow lurking near the entrance.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
12,avoiding,['fear'],[],fear,He was avoiding the loud noise of the sudden crash nearby now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
13,bale,['fear'],['negative'],fear,The heavy bale of hay suddenly rolled down the steep hill.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
