id,seed_word,emotion_labels,polarity_labels,primary_emotion,generated_sentence,style_register,length_bucket,length_rule,language,llm_model,prompt_version,generation_round
0,abortive,['sadness'],['negative'],sadness,"The attempt proved abortive, leaving him feeling deeply down now.",plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
1,abscess,['sadness'],['negative'],sadness,"A painful abscess formed, causing him considerable distress and sorrow.",plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
2,absent,['sadness'],['negative'],sadness,He felt very absent during the family gathering today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
3,absentee,['sadness'],['negative'],sadness,The absentee landlord caused many tenants great sorrow.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
4,abysmal,['sadness'],['negative'],sadness,The situation felt abysmal after the long difficult day ended.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
5,ache,['sadness'],['negative'],sadness,A dull ache persisted in my chest throughout the entire evening.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
6,aching,['sadness'],['negative'],sadness,The constant ache made her body feel heavy and low today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
7,alienated,['sadness'],['negative'],sadness,He felt deeply alienated from everyone around him in the quiet room.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
8,anchorage,['sadness'],['positive'],sadness,The small boat found temporary anchorage near the shore today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
9,apathetic,['sadness'],['negative'],sadness,His response showed a complete and deep apathetic lack of concern.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
10,apathy,['sadness'],['negative'],sadness,His constant apathy made the room feel very cold and empty today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
11,arid,['sadness'],['negative'],sadness,The arid landscape showed no sign of life or any comfort whatsoever.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
12,ashes,['sadness'],['negative'],sadness,The cold ashes settled slowly onto the dusty floorboards now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
13,backwater,['sadness'],['negative'],sadness,We found the boat stuck in the muddy backwater completely still.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
14,badly,['sadness'],['negative'],sadness,the news was badly delivered to the worried person today,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
15,barren,['sadness'],['negative'],sadness,the field looked barren after the long drought season ended,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
