id,seed_word,emotion_labels,polarity_labels,primary_emotion,generated_sentence,style_register,length_bucket,length_rule,language,llm_model,prompt_version,generation_round
0,abundant,['joy'],['positive'],joy,The garden showed abundant sunshine on the bright morning.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
1,accomplish,['joy'],['positive'],joy,She worked hard to accomplish the difficult painting quickly.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
2,adorable,['joy'],['positive'],joy,The puppy was so adorable when it wagged its tiny tail happily.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
3,aesthetics,['joy'],['positive'],joy,The bright colors created beautiful aesthetics in the entire room.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
4,amicable,['joy'],['positive'],joy,The friendly handshake showed an amicable agreement between the two parties.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
5,amnesty,['joy'],['positive'],joy,Receiving amnesty brought a wave of pure joy to the entire community.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
6,amuse,['joy'],['positive'],joy,The funny clown began to amuse the small children greatly today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
7,amused,['joy'],['positive'],joy,She looked very amused after hearing the delightful surprise story.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
8,amusing,['joy'],['positive'],joy,The funny clown made everyone feel very amusing today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
9,animated,['joy'],['positive'],joy,Her bright smile was so animated during the happy performance.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
10,baby,['joy'],['positive'],joy,The tiny baby smiled brightly at the cheerful music playing now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
11,baptismal,['joy'],['positive'],joy,The baptismal ceremony brought great happiness to the whole family.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
12,beach,['joy'],[],joy,The bright sun made the beach a perfect place for happy swimming today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
13,beam,['joy'],['positive'],joy,A warm golden beam of light touched the happy face on the beach.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1
