id,seed_word,emotion_labels,polarity_labels,primary_emotion,generated_sentence,style_register,length_bucket,length_rule,language,llm_model,prompt_version,generation_round,n_words
0,abolish,"[""anger""]","[""negative""]",anger,He wanted to abolish the rule immediately with great force.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
1,adversary,"[""anger""]","[""negative""]",anger,That person became a fierce adversary in the competition.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,9
2,aggravated,"[""anger""]","[""negative""]",anger,The constant noise greatly aggravated my patience today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,8
3,agitated,"[""anger""]","[""negative""]",anger,He looked visibly agitated after the sudden unexpected criticism.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,9
4,anger,"[""anger""]","[""negative""]",anger,His sudden anger caused him to slam the door shut loudly now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,12
5,animus,"[""anger""]","[""negative""]",anger,The deep animus fueled his desire to confront the person directly.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
6,annoying,"[""anger""]","[""negative""]",anger,That constant noise is truly annoying me right now. I find this situation extremely annoying. The persistent buzzing is very annoying today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,22
7,antithesis,"[""anger""]","[""negative""]",anger,His harsh words were an antithesis to my calm nature. This sharp contrast is deeply annoying. The opposing ideas create such an annoying tension.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,24
8,argue,"[""anger""]","[""negative""]",anger,He started to argue loudly about the broken toy immediately.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
9,arguments,"[""anger""]",[],anger,The constant arguments escalated until everyone was shouting.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,8
10,avenger,"[""anger""]","[""negative""]",anger,The avenger shouted loudly when the injustice occurred today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,9
11,badger,"[""anger""]","[""negative""]",anger,That angry badger scratched the fence post with its claws.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
12,barb,"[""anger""]","[""negative""]",anger,The sharp barb cut deep into his skin during the argument.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
13,bark,"[""anger""]","[""negative""]",anger,The dog let out a loud bark when it sensed the threat.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,12
14,barrier,"[""anger""]","[""negative""]",anger,The metal barrier stopped all our progress immediately and harshly.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
15,battalion,"[""anger""]",[],anger,The entire battalion marched forward with intense and frustrated aggression.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
16,battery,"[""anger""]","[""negative""]",anger,"The dead battery caused a loud, sudden explosion in the device.",plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
17,battle,"[""anger""]","[""negative""]",anger,They started a fierce battle over the last remaining piece of equipment.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,12
18,bellows,"[""anger""]",[],anger,The loud bellows shook the entire metal structure violently now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
19,berserk,"[""anger""]","[""negative""]",anger,He acted berserk when the unfair decision was finally announced.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
20,bias,"[""anger""]","[""negative""]",anger,His unfair bias caused a huge argument with the manager today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
21,birthplace,"[""anger""]","[""negative""]",anger,The constant criticism targeted his entire birthplace during the meeting.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
22,blasphemy,"[""anger""]","[""negative""]",anger,His harsh words were pure blasphemy against everything sacred now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
23,blaze,"[""anger""]","[""negative""]",anger,The fire produced a terrible blaze that ruined the entire structure.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
24,bout,"[""anger""]","[""negative""]",anger,He threw a furious bout during the intense competition match now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
25,boxing,"[""anger""]",[],anger,The boxing match ended with a harsh and angry conclusion today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
26,brazen,"[""anger""]","[""negative""]",anger,The brazen thief stole the valuable item right from under my nose.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,12
27,broil,"[""anger""]","[""negative""]",anger,The cooking pot began to broil dangerously on the hot stove burner.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,12
28,brunt,"[""anger""]","[""negative""]",anger,The heavy brunt of the impact shook the entire structure violently now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,12
29,buffet,"[""anger""]","[""negative""]",anger,He slammed his fist down on the table like a furious buffet of rage.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,14
30,chaotic,"[""anger""]","[""negative""]",anger,The room became chaotic when the boxes fell over loudly now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
31,clash,"[""anger""]","[""negative""]",anger,The metal parts made a loud clash during the sudden impact.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
32,complaint,"[""anger""]","[""negative""]",anger,His loud complaint made everyone around him very angry now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
33,complicate,"[""anger""]","[""negative""]",anger,Trying to complicate the simple task only increased my intense anger.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
34,compress,"[""anger""]",[],anger,He tried to compress the air with his tight fists in frustration.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,12
35,condemn,"[""anger""]","[""negative""]",anger,"She will condemn his actions with harsh, angry words now.",plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
36,confront,"[""anger""]",[],anger,He chose to confront the issue directly with his manager today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
37,contradict,"[""anger""]","[""negative""]",anger,Her statement seemed to contradict everything he had previously said.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
38,crabby,"[""anger""]","[""negative""]",anger,The crabby person slammed the door in sudden frustration today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
39,cranky,"[""anger""]","[""negative""]",anger,That cranky driver cut me off without even signaling the turn.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
40,crime,"[""anger""]","[""negative""]",anger,The sudden crime caused a great outburst of fury and rage.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
41,crunch,"[""anger""]","[""negative""]",anger,I heard a loud crunch when the broken glass shattered under my foot.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,13
42,cussed,"[""anger""]",[],anger,He cussed loudly when the game went against his team.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
43,deceived,"[""anger""]","[""negative""]",anger,She was deeply deceived by his false promises and actions.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
44,decry,"[""anger""]","[""negative""]",anger,He began to decry the unfair decision loudly in the meeting room.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,12
45,defamatory,"[""anger""]","[""negative""]",anger,That statement was clearly defamatory and caused immediate strong irritation.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
46,defect,"[""anger""]","[""negative""]",anger,The broken machine showed a clear defect in its design now. This small defect caused a major system failure quickly.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,20
47,defiant,"[""anger""]","[""negative""]",anger,He showed a defiant glare when challenged by the authority. That defiant look promised serious trouble ahead.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,17
48,demand,"[""anger""]","[""negative""]",anger,He will demand immediate answers from the manager now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,9
49,deny,"[""anger""]","[""negative""]",anger,She will deny everything when confronted by the facts.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,9
50,detract,"[""anger""]","[""negative""]",anger,His constant criticism will detract from my entire project's success.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
51,disagree,"[""anger""]","[""negative""]",anger,We strongly disagree about the final decision and it causes great frustration.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,12
52,dispute,"[""anger""]","[""negative""]",anger,He started a loud dispute over the misplaced tools this morning.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
53,disrespect,"[""anger""]","[""negative""]",anger,His constant disrespect made everyone furious with his actions today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
54,distracted,"[""anger""]","[""negative""]",anger,The loud noise made me distracted from my important work immediately.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
55,disused,"[""anger""]","[""negative""]",anger,We found the disused tool broken and it caused a big argument.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,12
56,dupe,"[""anger""]","[""negative""]",anger,That cheap imitation is a complete dupe for the real thing.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
57,effigy,"[""anger""]",[],anger,He built a crude effigy to represent the person he hated.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
58,elbow,"[""anger""]",[],anger,He slammed his elbow hard against the table in frustration now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
59,eradicate,"[""anger""]","[""negative""]",anger,She wanted to eradicate the problem immediately with great force.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
60,escalate,"[""anger""]","[""negative""]",anger,His voice began to escalate into a loud shout immediately after the argument.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,13
61,exaggerate,"[""anger""]","[""negative""]",anger,She started to exaggerate the damage caused by the small accident greatly.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,12
62,expletive,"[""anger""]","[""negative""]",anger,He used a harsh expletive when the machine broke down suddenly.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
63,extinguish,"[""anger""]","[""negative""]",anger,She tried to extinguish the small flame with a sudden violent movement.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,12
64,fallacious,"[""anger""]","[""negative""]",anger,That fallacious argument caused a huge argument between them now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
65,fenced,"[""anger""]",[],anger,He angrily slammed the fence because he felt completely trapped.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
66,feud,"[""anger""]","[""negative""]",anger,The old feud caused a huge argument between the neighbors today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
67,fighting,"[""anger""]","[""negative""]",anger,They were fighting intensely over the misplaced tools in the shed.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
68,fits,"[""anger""]","[""negative""]",anger,The shirt fits too tightly across his chest now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,9
69,foray,"[""anger""]","[""negative""]",anger,His sudden foray into the market caused a big argument.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
70,fraud,"[""anger""]","[""negative""]",anger,The deceitful fraud ruined all of my careful plans today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
71,frustrated,"[""anger""]","[""negative""]",anger,I felt so frustrated when the system showed the false fraud claim.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,12
72,fuming,"[""anger""]","[""negative""]",anger,The hot engine was fuming under the intense pressure of the race.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,12
73,furiously,"[""anger""]",[],anger,He slammed his fist down furiously on the desk to express his deep frustration.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,14
74,furnace,"[""anger""]",[],anger,The hot furnace suddenly shut down causing great frustration now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
75,furor,"[""anger""]","[""negative""]",anger,His loud furor made everyone around him extremely angry.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,9
76,gibberish,"[""anger""]","[""negative""]",anger,The strange sounds were pure gibberish that annoyed everyone greatly.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
77,glaring,"[""anger""]","[""negative""]",anger,His glaring eyes showed intense fury toward the person standing nearby.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
78,godless,"[""anger""]","[""negative""]",anger,That godless behavior made everyone extremely furious and enraged.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,9
79,grab,"[""anger""]","[""negative""]",anger,"He tried to grab the object with intense, angry force now.",plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
80,grated,"[""anger""]","[""negative""]",anger,The rough surface grated against my skin with sharp pain now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
81,grudge,"[""anger""]","[""negative""]",anger,That old grudge keeps burning inside me with intense fury.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
82,harassing,"[""anger""]",[],anger,"He was harassing the neighbor with loud, aggressive noises all night long.",plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,12
83,hating,"[""anger""]","[""negative""]",anger,She felt hating the situation because everyone ignored her complaints.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
84,haughty,"[""anger""]","[""negative""]",anger,The haughty person demanded immediate attention from everyone present.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,9
85,implicate,"[""anger""]","[""negative""]",anger,He tried to implicate his colleague in the serious mistake clearly.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
86,incense,"[""anger""]","[""negative""]",anger,The strong incense smoke made everyone incredibly angry today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,9
87,indenture,"[""anger""]","[""negative""]",anger,He felt intense anger about the unfair indenture contract terms.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
88,indignant,"[""anger""]","[""negative""]",anger,She felt indignant when the rules were unfairly changed today.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
89,injustice,"[""anger""]","[""negative""]",anger,The blatant injustice made everyone around the table furious now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
90,irate,"[""anger""]","[""negative""]",anger,The irate driver slammed on the brakes suddenly and dangerously.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,10
91,irritable,"[""anger""]","[""negative""]",anger,His irritable tone made everyone around him immediately angry.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,9
92,kick,"[""anger""]","[""negative""]",anger,He felt the sudden urge to kick the door hard now.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,11
93,kicking,"[""anger""]",[],anger,"The constant kicking caused a loud, angry sound everywhere.",plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,9
94,loath,"[""anger""]","[""negative""]",anger,I loath this situation and want to scream right now. This unfairness makes me furious.,plain_narrative,short,10-22 words; simple syntax,en,qwen/qwen3-4b-2507,v9-gemma-local-strict-json,1,15
