id,seed_word,emotion_labels,polarity_labels,primary_emotion,generated_sentence,language,llm_model,prompt_version,generation_round
0,behemoth,['fear'],['negative'],fear,"The massive behemoth of a bear emerged from the dense forest, sending the campers into a panic.",en,llama-3.1-8b-instant,v2-batch,1
1,behemoth,['fear'],['negative'],fear,"The behemoth wave crashed against the shore, making it difficult for the surfers to stay afloat.",en,llama-3.1-8b-instant,v2-batch,1
2,dismissal,"['anger', 'disgust', 'fear', 'sadness', 'surprise']",['negative'],fear,The teacher's dismissal of the student's concerns only made the situation more tense.,en,llama-3.1-8b-instant,v2-batch,1
3,dismissal,"['anger', 'disgust', 'fear', 'sadness', 'surprise']",['negative'],fear,The manager's dismissal of the employee's ideas led to a feeling of being undervalued.,en,llama-3.1-8b-instant,v2-batch,1
4,sentence,"['anger', 'anticipation', 'disgust', 'fear', 'sadness']",['negative'],fear,The fear of public speaking made it difficult to complete the sentence without stumbling.,en,llama-3.1-8b-instant,v2-batch,1
5,sentence,"['anger', 'anticipation', 'disgust', 'fear', 'sadness']",['negative'],fear,The judge's sentence was harsh and left the defendant feeling anxious about the future.,en,llama-3.1-8b-instant,v2-batch,1
6,xenophobia,['fear'],['negative'],fear,The rise of xenophobia in the country led to a growing sense of fear among immigrants.,en,llama-3.1-8b-instant,v2-batch,1
7,xenophobia,['fear'],['negative'],fear,The xenophobia displayed by the politician during the debate was deeply concerning.,en,llama-3.1-8b-instant,v2-batch,1
8,hearing,['fear'],['negative'],fear,The sound of the hearing aids malfunctioning filled the room with an eerie silence.,en,llama-3.1-8b-instant,v2-batch,1
9,hearing,['fear'],['negative'],fear,"The hearing was a tense and scary experience, especially for the new witnesses.",en,llama-3.1-8b-instant,v2-batch,1
10,displeased,"['anger', 'disgust', 'fear', 'sadness']",['negative'],fear,The crowd began to show signs of being displeased as the concert ran late again.,en,llama-3.1-8b-instant,v2-batch,1
11,displeased,"['anger', 'disgust', 'fear', 'sadness']",['negative'],fear,Her displeased expression made it clear she was unhappy with the meal's quality.,en,llama-3.1-8b-instant,v2-batch,1
12,trembling,['fear'],['negative'],fear,The patient's hands were visibly trembling during the doctor's examination today.,en,llama-3.1-8b-instant,v2-batch,1
13,trembling,['fear'],['negative'],fear,Her voice was trembling as she called to ask for help with the emergency.,en,llama-3.1-8b-instant,v2-batch,1
14,problem,"['fear', 'sadness']",['negative'],fear,She's got a problem with snakes and can't even look at a picture of one.,en,llama-3.1-8b-instant,v2-batch,1
15,problem,"['fear', 'sadness']",['negative'],fear,"The math problem on the worksheet seemed impossible to solve, causing her distress.",en,llama-3.1-8b-instant,v2-batch,1
16,leprosy,"['disgust', 'fear', 'sadness']",['negative'],fear,The thought of contracting leprosy from an infected wound sent chills down his spine.,en,llama-3.1-8b-instant,v2-batch,1
17,leprosy,"['disgust', 'fear', 'sadness']",['negative'],fear,Watching a documentary about someone who had leprosy left her feeling anxious and scared.,en,llama-3.1-8b-instant,v2-batch,1
18,thresh,"['anger', 'fear', 'sadness']",['negative'],fear,"The wheat began to thresh in the strong wind, causing the farmer concern for his crop.",en,llama-3.1-8b-instant,v2-batch,1
19,thresh,"['anger', 'fear', 'sadness']",['negative'],fear,The sound of the machine threshing the grain was incredibly loud and disturbing.,en,llama-3.1-8b-instant,v2-batch,1
20,orc,"['anger', 'disgust', 'fear']",['negative'],fear,The orc's menacing roar sent shivers down my spine as it approached the village.,en,llama-3.1-8b-instant,v2-batch,1
21,orc,"['anger', 'disgust', 'fear']",['negative'],fear,I couldn't shake off the feeling of fear as the orc's massive shadow loomed over me.,en,llama-3.1-8b-instant,v2-batch,1
22,cripple,"['fear', 'sadness']",['negative'],fear,The gruesome sight of a cripple begging on the streets filled me with a sense of dread.,en,llama-3.1-8b-instant,v2-batch,1
23,cripple,"['fear', 'sadness']",['negative'],fear,I felt a chill run down my spine as I saw the cripple's withered body struggling to move.,en,llama-3.1-8b-instant,v2-batch,1
24,fever,['fear'],[],fear,The doctor's diagnosis of a high fever sent my heart racing with anxiety.,en,llama-3.1-8b-instant,v2-batch,1
25,fever,['fear'],[],fear,I couldn't sleep at night due to the intense fever that had taken over my body.,en,llama-3.1-8b-instant,v2-batch,1
26,crash,"['fear', 'sadness', 'surprise']",['negative'],fear,"The sound of the car crash still echoed in my mind, leaving me shaken.",en,llama-3.1-8b-instant,v2-batch,1
27,crash,"['fear', 'sadness', 'surprise']",['negative'],fear,I felt a wave of fear wash over me as I witnessed the devastating crash on the highway.,en,llama-3.1-8b-instant,v2-batch,1
28,exacerbation,"['anger', 'fear']",['negative'],fear,The exacerbation of my condition due to the cold weather filled me with a sense of fear.,en,llama-3.1-8b-instant,v2-batch,1
29,exacerbation,"['anger', 'fear']",['negative'],fear,I was worried about the exacerbation of my injury if I didn't take it easy soon.,en,llama-3.1-8b-instant,v2-batch,1
30,scoundrel,"['anger', 'disgust', 'fear', 'trust']",['negative'],fear,"The scoundrel's reputation preceded him, striking fear into the hearts of everyone he met.",en,llama-3.1-8b-instant,v2-batch,1
31,scoundrel,"['anger', 'disgust', 'fear', 'trust']",['negative'],fear,Living with a scoundrel as a roommate was a constant source of anxiety and worry.,en,llama-3.1-8b-instant,v2-batch,1
32,revenge,"['anger', 'anticipation', 'fear', 'surprise']",['negative'],fear,"The thought of revenge consumed her every waking moment, driving her to take desperate measures.",en,llama-3.1-8b-instant,v2-batch,1
33,revenge,"['anger', 'anticipation', 'fear', 'surprise']",['negative'],fear,"A burning desire for revenge fueled her quest for justice, but at what cost to her own soul?",en,llama-3.1-8b-instant,v2-batch,1
34,fearless,['fear'],['positive'],fear,"The fearless leader stood tall, undaunted by the danger that lurked around every corner.",en,llama-3.1-8b-instant,v2-batch,1
35,fearless,['fear'],['positive'],fear,"Her fearless attitude inspired her team to push through the challenges they faced, but little did they know the true extent of the terror that awaited them.",en,llama-3.1-8b-instant,v2-batch,1
36,slam,"['anger', 'fear', 'surprise']",['negative'],fear,"The slam of the car door echoed through the empty parking lot, making her jump with fright.",en,llama-3.1-8b-instant,v2-batch,1
37,slam,"['anger', 'fear', 'surprise']",['negative'],fear,The slam of the prison gates was the last sound she heard before the darkness consumed her.,en,llama-3.1-8b-instant,v2-batch,1
38,molestation,"['anger', 'disgust', 'fear', 'sadness']",['negative'],fear,"The memory of the molestation still haunted her dreams, a constant reminder of the trauma she endured.",en,llama-3.1-8b-instant,v2-batch,1
39,molestation,"['anger', 'disgust', 'fear', 'sadness']",['negative'],fear,"The news of the molestation case sent shockwaves through the community, leaving many to wonder how such a heinous crime could have been committed.",en,llama-3.1-8b-instant,v2-batch,1
40,siren,['fear'],['negative'],fear,"The sound of the siren echoed through the darkness, making me freeze in fear.",en,llama-3.1-8b-instant,v2-batch,1
41,siren,['fear'],['negative'],fear,"As I walked home alone at night, the siren in the distance sent chills down my spine.",en,llama-3.1-8b-instant,v2-batch,1
42,lion,['fear'],['positive'],fear,"A ferocious lion appeared in the savannah, sending a wave of fear over the entire group.",en,llama-3.1-8b-instant,v2-batch,1
43,lion,['fear'],['positive'],fear,"With its piercing roar, the lion in the zoo seemed to be screaming in fear, too.",en,llama-3.1-8b-instant,v2-batch,1
44,inflict,"['anger', 'fear', 'sadness']",['negative'],fear,The thought of being trapped in a dark room made me fear that someone would come to inflict harm.,en,llama-3.1-8b-instant,v2-batch,1
45,inflict,"['anger', 'fear', 'sadness']",['negative'],fear,The bully in school sought to inflict fear on his classmates by intimidating them.,en,llama-3.1-8b-instant,v2-batch,1
46,dominate,"['anger', 'fear']","['negative', 'positive']",fear,The fear of losing control made me feel like I'd be dominated by the stress.,en,llama-3.1-8b-instant,v2-batch,1
47,dominate,"['anger', 'fear']","['negative', 'positive']",fear,"The strong football player sought to dominate the game, but his opponent's fear gave him an edge.",en,llama-3.1-8b-instant,v2-batch,1
